Date,Open,High,Low,Close,Adj Close,Volume
2020-10-02,0.000000,0.516571,0.000000,0.516571,0.516571,0
2020-10-03,0.523836,65.305939,0.523801,53.151489,53.151489,0
2020-10-04,53.179859,55.070354,50.688992,52.675034,52.675034,0
2020-10-05,52.675034,55.112358,49.787899,53.219242,53.219242,0
2020-10-06,53.291969,53.402271,40.734577,42.401600,42.401600,583091
2020-10-07,42.399948,42.408314,35.970692,40.083977,40.083977,682834
2020-10-08,39.885262,44.902512,36.696056,43.764462,43.764462,1658817
2020-10-09,43.764462,47.569534,43.291775,46.817745,46.817745,815538
2020-10-10,46.818146,51.405655,46.703327,49.133717,49.133717,1074627
2020-10-11,49.133129,51.453373,48.716042,49.660725,49.660725,692151
2020-10-12,49.661572,54.421417,48.754078,52.238693,52.238693,1354836
2020-10-13,52.238392,57.481903,49.598736,51.124317,51.124317,1386221
2020-10-14,51.372898,57.853947,49.629528,51.316517,51.316517,3132405
2020-10-15,51.387611,52.080685,44.018326,44.019184,44.019184,5883146
2020-10-16,42.890606,43.906731,39.142956,39.495846,39.495846,52855205
2020-10-17,39.486191,43.077374,38.633614,41.366993,41.366993,43339687
2020-10-18,41.389599,41.749489,39.531586,40.746971,40.746971,40441163
2020-10-19,40.836758,40.995186,35.951363,36.012318,36.012318,49289897
2020-10-20,36.043785,36.319069,32.101101,32.180016,32.180016,60632326
2020-10-21,32.253490,37.078201,32.048149,35.160358,35.160358,43831235
2020-10-22,35.097488,39.856922,33.589462,38.031651,38.031651,54717366
2020-10-23,37.730595,42.546658,36.924671,41.686638,41.686638,76081860
2020-10-24,41.686638,42.439705,38.728821,39.455021,39.455021,57658170
2020-10-25,39.455021,40.928509,37.601200,37.904762,37.904762,43970452
2020-10-26,37.904762,39.163864,35.071968,36.033920,36.033920,50307223
2020-10-27,36.033913,38.869183,34.469635,34.871532,34.871532,58581308
2020-10-28,34.871536,35.564022,32.000057,32.394081,32.394081,60533867
2020-10-29,32.394081,33.155483,28.240772,29.098333,29.098333,66304786
2020-10-30,29.098341,31.980774,27.792461,31.217823,31.217823,77280724
2020-10-31,31.217823,32.900162,29.610258,29.707518,29.707518,58631072
2020-11-01,29.707518,31.067060,28.494482,30.657276,30.657276,49568339
2020-11-02,30.657282,33.923584,29.344650,29.731524,29.731524,87180146
2020-11-03,29.731525,30.062918,27.537111,28.042803,28.042803,56775012
2020-11-04,28.042971,28.433069,26.089518,27.715084,27.715084,50464691
2020-11-05,27.715080,32.303040,25.966154,30.955627,30.955627,85212412
2020-11-06,30.955118,40.769073,30.855127,38.457439,38.457439,147304661
2020-11-07,38.457439,51.427994,38.457439,44.604900,44.604900,200580054
2020-11-08,44.604900,54.786362,42.864254,53.749378,53.749378,174706009
2020-11-09,53.749374,58.364113,49.860130,54.886501,54.886501,386011348
2020-11-10,54.886505,70.309822,53.179035,67.001114,67.001114,433793206
2020-11-11,67.001114,68.778595,53.716755,54.699646,54.699646,354136841
2020-11-12,54.699623,59.618317,50.523102,51.632420,51.632420,244505562
2020-11-13,51.632435,66.123657,51.179153,63.399071,63.399071,318852071
2020-11-14,63.399071,68.377045,57.897274,67.016113,67.016113,243698855
2020-11-15,67.016113,71.174553,60.088917,64.237297,64.237297,258275517
2020-11-16,64.237297,74.042297,61.209229,71.766396,71.766396,252527245
2020-11-17,73.253067,79.562126,68.956329,78.443283,78.443283,310951195
2020-11-18,78.442757,79.210503,67.648598,75.232277,75.232277,291394551
2020-11-19,75.232773,80.731201,70.503456,75.857185,75.857185,275294182
2020-11-20,75.857185,82.173225,74.689491,75.065399,75.065399,260578165
2020-11-21,75.065399,76.891731,67.796066,70.424248,70.424248,237984829
2020-11-22,70.424248,74.659790,63.299126,68.424782,68.424782,209068686
2020-11-23,68.424782,73.770569,65.737648,71.838615,71.838615,220212896
2020-11-24,71.855675,74.380135,66.278664,66.738678,66.738678,193004081
2020-11-25,66.715561,67.452560,59.557884,61.805340,61.805340,154888752
2020-11-26,61.816696,65.097733,50.384220,63.993450,63.993450,282502058
2020-11-27,64.005783,68.665428,56.650322,60.738720,60.738720,201844806
2020-11-28,60.749226,66.201042,58.979244,63.947289,63.947289,150605043
2020-11-29,63.948757,69.561440,62.041294,68.853127,68.853127,161791286
2020-11-30,68.856445,79.465096,68.856445,76.419533,76.419533,288079550
2020-12-01,76.424721,78.861893,70.944031,74.868362,74.868362,268968537
2020-12-02,74.861153,89.938011,72.454353,86.323250,86.323250,410949898
2020-12-03,86.380829,94.069763,83.213974,91.675644,91.675644,390370348
2020-12-04,91.684532,92.735764,80.183861,81.641823,81.641823,344330864
2020-12-05,81.589890,91.920601,79.946495,91.920601,91.920601,321071928
2020-12-06,91.946663,92.733467,84.950691,87.956429,87.956429,261643153
2020-12-07,87.956543,94.700165,86.909584,90.960297,90.960297,299145688
2020-12-08,90.950325,91.098770,78.209854,79.946190,79.946190,376267575
2020-12-09,79.922821,86.125450,75.097069,82.113724,82.113724,357447824
2020-12-10,82.182823,83.051178,75.859032,76.645760,76.645760,299977127
2020-12-11,76.625237,78.348984,70.707237,74.729828,74.729828,314260629
2020-12-12,74.681633,79.998344,74.648773,77.554878,77.554878,228308572
2020-12-13,77.588470,84.649117,76.928436,83.427460,83.427460,269018777
2020-12-14,83.454926,90.856812,79.788147,86.140121,86.140121,309773537
2020-12-15,86.154579,88.745338,84.626083,87.258095,87.258095,288078630
2020-12-16,87.225014,89.480843,80.965401,87.230057,87.230057,368950333
2020-12-17,87.232986,89.474457,83.340126,85.083832,85.083832,361404899
